City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,year,month,day,day_of_week,day_of_year,weekend,is_winter,is_summer,is_monsoon,month_sin,month_cos,dow_sin,dow_cos,AQI_Bucket_encoded,PM2.5_lag_1,PM2.5_lag_2,PM2.5_lag_3,PM2.5_lag_7,PM2.5_lag_14,PM10_lag_1,PM10_lag_2,PM10_lag_3,PM10_lag_7,PM10_lag_14,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_7,NO2_lag_14,CO_lag_1,CO_lag_2,CO_lag_3,CO_lag_7,CO_lag_14,SO2_lag_1,SO2_lag_2,SO2_lag_3,SO2_lag_7,SO2_lag_14,O3_lag_1,O3_lag_2,O3_lag_3,O3_lag_7,O3_lag_14,PM2.5_rolling_mean_3,PM2.5_rolling_std_3,PM2.5_rolling_mean_7,PM2.5_rolling_std_7,PM2.5_rolling_mean_14,PM2.5_rolling_std_14,PM10_rolling_mean_3,PM10_rolling_std_3,PM10_rolling_mean_7,PM10_rolling_std_7,PM10_rolling_mean_14,PM10_rolling_std_14,NO2_rolling_mean_3,NO2_rolling_std_3,NO2_rolling_mean_7,NO2_rolling_std_7,NO2_rolling_mean_14,NO2_rolling_std_14,CO_rolling_mean_3,CO_rolling_std_3,CO_rolling_mean_7,CO_rolling_std_7,CO_rolling_mean_14,CO_rolling_std_14,SO2_rolling_mean_3,SO2_rolling_std_3,SO2_rolling_mean_7,SO2_rolling_std_7,SO2_rolling_mean_14,SO2_rolling_std_14,O3_rolling_mean_3,O3_rolling_std_3,O3_rolling_mean_7,O3_rolling_std_7,O3_rolling_mean_14,O3_rolling_std_14,PM2.5_x_PM10,PM2.5_plus_PM10,PM2.5_x_NO2,PM2.5_plus_NO2,PM2.5_x_CO,PM2.5_plus_CO,PM2.5_x_SO2,PM2.5_plus_SO2,PM2.5_x_O3,PM2.5_plus_O3,PM10_x_NO2,PM10_plus_NO2,PM10_x_CO,PM10_plus_CO,PM10_x_SO2,PM10_plus_SO2,PM10_x_O3,PM10_plus_O3,NO2_x_CO,NO2_plus_CO,NO2_x_SO2,NO2_plus_SO2,NO2_x_O3,NO2_plus_O3,CO_x_SO2,CO_plus_SO2,CO_x_O3,CO_plus_O3,SO2_x_O3,SO2_plus_O3
Delhi,2015-01-16,174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,7.75,15.83,3.75,356.0,Very Poor,2015,1,16,4,16,0,1,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,4.0,166.19,164.39,197.61,201.66,186.18,283.93,227.38,301.04,397.43,269.55,56.7,41.17,45.88,38.56,32.87,10.81,10.32,11.52,11.09,9.54,6.94,4.85,5.95,3.48,6.65,43.25,42.05,39.54,32.94,29.97,168.51999999999998,5.666453917574578,191.71571428571428,23.049264527053673,180.47428571428574,39.211502377253,273.76666666666665,42.23236949702611,317.5585714285715,54.855615764955026,300.1978571428571,78.32292985587803,49.093333333333334,7.769841268219932,47.364285714285714,4.828953845098891,42.385714285714286,6.713114277047826,10.863333333333335,0.5718682832028112,10.584285714285715,0.8515839583360167,10.482857142857142,0.8517261077584519,5.493333333333333,1.255401662151733,5.578571428571429,0.7735293265595188,4.7092857142857145,1.265910826156495,40.0,4.6289847699036955,40.58714285714286,5.519226136231141,33.68714285714285,8.641322395747814,54242.0502,484.97,8645.761799999998,224.39,2005.2708,186.44,820.6562,179.67,6071.8060000000005,209.68,15316.605899999999,359.4,3552.4854000000005,321.45,1453.8531000000003,314.68,10756.653000000002,344.69,566.2386,60.87,231.7329,54.099999999999994,1714.527,84.11,53.747400000000006,16.150000000000002,397.66200000000003,46.160000000000004,162.74300000000002,39.39
Delhi,2015-01-17,196.46,356.2,42.18,53.04,80.18,125.49,8.87,5.13,25.77,9.92,17.59,3.36,360.0,Very Poor,2015,1,17,5,17,1,1,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,4.0,174.98,166.19,164.39,221.02,87.18,309.99,283.93,227.38,361.74,131.9,49.41,56.7,41.17,46.39,30.31,11.46,10.81,10.32,9.7,10.61,4.69,6.94,4.85,5.91,2.65,34.7,43.25,42.05,34.12,19.71,179.21,15.57202298996495,188.20714285714283,19.430251940625737,188.28,28.671556261590293,316.70666666666665,36.600183515022664,316.76714285714286,54.14734272159184,316.2192857142857,62.61403276782729,53.050000000000004,3.645010288051361,48.31428571428571,5.241815388911433,44.00928571428572,6.304112777551492,10.38,1.3474791278531923,10.465714285714286,1.0335675617790574,10.358571428571427,0.9527115726490053,5.586666666666666,1.1924903912960194,5.467142857142856,0.7740093514877449,4.886428571428572,1.120779997233089,34.57333333333333,8.740688378688134,39.394285714285715,7.643456585304085,34.12,8.016518523072795,69979.052,552.66,10420.2384,249.5,1742.6001999999999,205.33,1007.8398,201.59,5062.7742,222.23000000000002,18892.847999999998,409.24,3159.4939999999997,365.07,1827.3059999999998,361.33,9179.274,381.96999999999997,470.46479999999997,61.91,272.0952,58.17,1366.8408,78.81,45.503099999999996,14.0,228.57989999999998,34.64,132.2001,30.9
Delhi,2015-01-18,201.51,359.75,45.51,53.77,75.83,120.45,8.99,5.43,23.22,9.0,20.95,4.03,370.0,Very Poor,2015,1,18,6,18,1,1,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,4.0,196.46,174.98,166.19,205.41,151.84,356.2,309.99,283.93,393.2,241.84,53.04,49.41,56.7,47.29,36.91,8.87,11.46,10.81,10.98,11.54,5.13,4.69,6.94,5.54,4.63,25.77,34.7,43.25,50.37,25.36,190.98333333333335,14.087428201532413,187.65,18.903540232806478,191.82785714285714,26.829508776882037,341.98,27.76095639562877,311.98857142857145,47.32390073686216,324.64142857142855,59.70202442865,52.07333333333333,2.335215907220055,49.24,5.591314693343612,45.21357142857143,6.4522585278249815,9.773333333333333,1.4619279508010419,10.181428571428572,1.1370345724944428,10.176428571428572,0.9532261588364593,5.083333333333333,0.37220066272554475,5.451428571428571,0.7734000381740501,4.943571428571429,1.127076593826546,27.896666666666665,6.0282363368844365,35.51571428571428,8.024676228448627,33.96714285714285,8.214362121001548,72493.2225,561.26,10835.1927,255.28,1811.5749,210.5,1094.1993,206.94,4679.062199999999,224.73,19343.7575,413.52,3234.1525,368.74,1953.4424999999999,365.18,8353.395,382.97,483.39230000000003,62.760000000000005,291.9711,59.2,1248.5394000000001,76.99000000000001,48.8157,14.42,208.74779999999998,32.21,126.08459999999998,28.65
Delhi,2015-01-19,183.35,305.13,27.32,39.88,55.67,148.49,9.02,4.21,25.34,5.57,12.93,3.62,362.0,Very Poor,2015,1,19,0,19,0,1,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,4.0,201.51,196.46,174.98,212.41,146.6,359.75,356.2,309.99,345.63,219.13,53.77,53.04,49.41,44.71,34.92,8.99,8.87,11.46,9.3,9.2,5.43,5.13,4.69,5.17,3.33,23.22,25.77,34.7,40.08,23.2,193.7733333333333,9.373368302447666,183.49857142857144,15.43186576381422,194.4528571428571,23.676569537307216,340.36,30.56166389449374,306.20285714285717,44.94122521482394,330.78428571428566,51.92899067503116,48.89666666666667,7.817188326587352,48.55,6.472155745962866,45.56785714285714,5.961049441127001,8.959999999999999,0.07937253933192695,10.141428571428571,1.1774184836812642,10.16357142857143,0.9685008807657106,4.923333333333333,0.6357148207595412,5.314285714285714,0.9054622602637327,5.006428571428572,1.052218222049584,24.776666666666667,1.3651495644558165,33.410000000000004,8.544460193599123,34.12,8.016107822090756,55945.5855,488.48,7311.9980000000005,223.23,1653.8169999999998,192.37,771.9035,187.56,4646.089,208.69,12168.5844,345.01,2752.2726,314.15,1284.5973,309.34,7731.9942,330.46999999999997,359.7176,48.900000000000006,167.8948,44.09,1010.5592,65.22,37.974199999999996,13.23,228.5668,34.36,106.6814,29.55
Delhi,2015-01-20,165.63,257.04,16.47,34.23,37.68,146.31,8.03,4.11,22.69,3.42,6.76,3.28,340.0,Very Poor,2015,1,20,1,20,0,1,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,4.0,183.35,201.51,196.46,197.61,149.58,305.13,359.75,356.2,301.04,252.1,39.88,53.77,53.04,45.88,37.84,9.02,8.99,8.87,11.52,9.44,4.21,5.43,5.13,5.95,3.66,25.34,23.22,25.77,39.54,26.83,183.49666666666667,17.940449641336468,178.93,15.29109435804605,195.5992857142857,21.63743709559737,307.3066666666667,51.38958487216392,299.9171428571429,48.70325509802051,331.1371428571428,51.36694588614676,42.62666666666667,10.055398218535833,46.885714285714286,8.464409522904042,45.309999999999995,6.384113696693363,8.68,0.563116329012042,9.642857142857142,1.233932930183193,10.062857142857144,1.1121872322412452,4.583333333333333,0.7349376390778586,5.051428571428572,0.9558317245803718,5.038571428571429,1.0141070884345438,23.75,1.4022481948644427,31.002857142857142,8.89595360128359,33.824285714285715,8.374091651576963,42573.535200000006,422.67,5669.514899999999,199.85999999999999,1330.0088999999998,173.66,680.7393000000001,169.74,3758.1447000000003,188.32,8798.4792,291.27000000000004,2064.0312,265.07,1056.4344,261.15000000000003,5832.2376,279.73,274.86689999999993,42.26,140.6853,38.339999999999996,776.6786999999999,56.92,33.0033,12.14,182.20069999999998,30.72,93.25590000000001,26.8
Delhi,2015-02-02,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,2.58,349.0,Very Poor,2015,2,2,0,33,0,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,4.0,165.63,183.35,201.51,164.39,217.87,257.04,305.13,359.75,227.38,376.51,34.23,39.88,53.77,41.17,40.15,8.03,9.02,8.99,10.32,9.78,4.11,4.21,5.43,4.85,5.82,22.69,25.34,23.22,42.05,28.96,170.87333333333333,10.850826389419797,178.82285714285715,15.412103159839184,191.72571428571428,22.190903096083748,260.67,42.76071444679116,298.84000000000003,50.6205366756748,319.94642857142856,57.42984303373222,37.12,2.8272424727992775,46.325714285714284,9.017203663262904,45.10285714285715,6.607554451094287,9.213333333333333,1.290904075961236,9.68142857142857,1.2625163836749302,10.120714285714286,1.1173971423027604,4.543333333333333,0.665832811847942,5.117142857142857,0.9554879082736447,5.002142857142857,0.9928140159816797,25.47,2.847226720863751,29.05,7.449523474692867,33.78285714285715,8.401397712076456,35974.6176,383.48,6095.589999999999,200.89,1732.9475999999997,174.23,868.9283999999999,168.95,4644.1032,192.01999999999998,8189.04,257.09000000000003,2328.1056,230.43,1167.3504,225.15,6239.0592,248.22,394.4775,47.84,197.79749999999999,42.56,1057.155,65.63,56.232899999999994,15.899999999999999,300.5442,38.97,150.69779999999997,33.69
Delhi,2015-02-03,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,1.12,334.0,Very Poor,2015,2,3,1,34,0,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,4.0,163.64,165.63,183.35,166.19,229.9,219.84,257.04,305.13,283.93,360.95,37.25,34.23,39.88,56.7,43.16,10.59,8.03,9.02,10.81,11.01,5.31,4.11,4.21,6.94,3.31,28.38,22.69,25.34,43.25,30.51,162.32666666666665,4.1201011314442875,177.6114285714286,16.837895185732553,186.5692857142857,20.993076684500476,223.65666666666667,31.64807787739022,286.0057142857143,64.5133766121784,308.02785714285716,65.07170260313103,34.17666666666666,3.1003440669276476,42.66142857142857,9.305844809529516,44.237857142857145,7.599645921480042,8.943333333333333,1.4288923449068274,9.31,1.2576035411315727,9.920714285714284,1.1939428171187487,5.02,0.8051707893360271,4.931428571428571,0.6037225789888546,5.168571428571428,0.8757226215475487,26.543333333333333,3.338297969524868,26.951428571428572,4.097651476034509,33.64357142857143,8.475667985604307,30609.933900000004,351.8,4896.8955000000005,188.76000000000002,1294.7991000000002,165.92000000000002,889.4844,163.35,4504.1976,186.27,6026.494500000001,225.14000000000001,1593.4789000000003,202.3,1094.6676,199.73,5543.2104,222.65,254.92050000000003,39.260000000000005,175.12199999999999,36.69,886.788,59.61,46.3044,13.850000000000001,234.47760000000002,36.769999999999996,161.0784,34.199999999999996
Delhi,2015-02-05,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,4.92,10.17,3.33,262.0,Poor,2015,2,5,3,36,0,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,3.0,157.71,163.64,165.63,174.98,201.66,194.09,219.84,257.04,309.99,397.43,31.05,37.25,34.23,49.41,38.56,8.21,10.59,8.03,11.46,11.09,5.64,5.31,4.11,4.69,3.48,28.56,28.38,22.69,34.7,32.94,151.03666666666666,16.95534232427433,171.43714285714285,24.254431701090404,181.57642857142858,25.048488241544877,180.45000000000002,47.69592540249148,259.9242857142857,86.39478280103553,288.74142857142857,75.68414658272923,34.93666666666667,3.386227005582094,40.81857142857143,9.01957580039368,44.09142857142857,7.73598768707045,8.993333333333332,1.3828352516960694,8.84142857142857,0.8762501273690583,9.712857142857143,1.2275518386135558,5.266666666666667,0.39677869566464125,4.954285714285715,0.5960385094621875,5.2664285714285715,0.7382787376766964,26.213333333333335,3.909697345490296,25.09428571428571,2.7122798352607593,32.840714285714284,9.059674356760812,16788.8592,259.18,4810.557599999999,168.26999999999998,1077.7967999999998,139.94,639.036,136.60999999999999,2859.1919999999996,153.45999999999998,4652.1042,163.93,1042.2956,135.6,617.987,132.27,2765.014,149.12,298.6518,44.69,177.07349999999997,41.36,792.2669999999999,58.209999999999994,39.672999999999995,13.03,177.506,29.88,105.24499999999999,26.549999999999997
Delhi,2015-02-06,151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,9.46,19.7,9.77,303.0,Very Poor,2015,2,6,4,37,0,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,4.0,131.76,157.71,163.64,196.46,221.02,127.42,194.09,219.84,356.2,361.74,36.51,31.05,37.25,53.04,46.39,8.18,8.21,10.59,8.87,9.7,4.85,5.64,5.31,5.13,5.91,21.7,28.56,28.38,25.77,34.12,147.02333333333334,13.56687264380884,165.02857142857144,22.396223958941164,176.61785714285716,23.460465658232305,217.5,103.78442705916926,256.3228571428571,82.13290199716678,286.545,73.82608500335824,44.85333333333333,19.372894294176433,42.81285714285714,12.886557226150705,45.56357142857143,9.872923039336397,7.300000000000001,1.5502580430367068,8.361428571428572,1.532518934863218,9.413571428571428,1.6640849051140925,6.539999999999999,2.2775205816852675,5.525714285714286,1.6956597255233459,5.496428571428571,1.2666771013643856,28.060000000000002,6.125324481201017,26.25857142857143,4.322161606462807,32.826428571428565,9.057659408260168,50178.084,482.59000000000003,10157.199999999999,218.6,835.3159999999999,157.10999999999999,1384.1080000000002,160.73,5142.272,185.51999999999998,22176.33,397.99,1823.7549,336.5,3021.9387,340.12,11227.1808,364.91,369.16999999999996,72.51,611.71,76.13,2272.6400000000003,100.92,50.3063,14.64,186.8992,39.43,309.68960000000004,43.050000000000004
Delhi,2015-02-07,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,5.5,14.95,6.68,329.0,Very Poor,2015,2,7,5,38,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,4.0,151.6,131.76,157.71,201.51,205.41,330.99,127.42,194.09,359.75,393.2,67.0,36.51,31.05,53.77,47.29,5.51,8.18,8.21,8.99,10.98,9.13,4.85,5.64,5.43,5.54,33.92,21.7,28.56,23.22,50.37,148.03666666666666,14.819852675830777,159.2057142857143,15.597098936600307,173.42785714285714,22.24937481526904,222.9766666666667,102.35508113099885,235.00428571428571,69.15470455366561,273.49642857142857,69.5449933614804,53.73333333333333,15.625345862838811,43.37285714285714,13.512064626702696,46.30642857142857,10.39050573074571,7.989999999999999,2.3906693623334867,8.545714285714286,1.690156374844818,9.36357142857143,1.6234180803897285,6.963333333333334,2.1404983843332683,5.737142857142857,1.7722745675704843,5.594285714285715,1.3220131169238392,33.02,10.897908056136298,29.147142857142857,7.523830394787212,32.33142857142857,8.171131978018577,33841.090000000004,371.27,9273.6675,218.44,1652.51,171.03,1110.7825,167.66,6982.98,204.19,12144.8988,268.21000000000004,2164.1456,220.8,1454.6932000000002,217.43,9144.9888,253.96,593.0532,67.97,398.6379,64.6,2506.0535999999997,101.13,71.03479999999999,17.189999999999998,446.56319999999994,53.72,300.1704,50.349999999999994
